,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,NDVI,NDRE,TGI,VARI
154,2019_NYH2_plot_155,Mo44_PHW65_0225/PHT69,155,1,,1,46,4,0.741331294518209,0.4594538518359744,0.020700220477827606,0.3157787075464851
155,2019_NYH2_plot_156,Mo44_PHW65_0159/PHT69,156,1,,1,45,4,0.7648981745741076,0.4856507133883881,0.02461631963490357,0.3690222745053032
156,2019_NYH2_plot_157,Mo44_PHW65_0139/PHT69,157,1,,1,44,4,0.7805299906666824,0.4890925078607462,0.025314524926258915,0.3884195976040547
157,2019_NYH2_plot_158,Mo44_PHW65_0223/PHT69,158,1,,1,43,4,0.7123884489693313,0.45483518728004024,0.02008947088450765,0.36275486156000863
158,2019_NYH2_plot_159,Mo44_PHW65_0145/PHT69,159,1,,1,42,4,0.7555641623206213,0.48192000605441404,0.022629528846389278,0.35047500439612783
159,2019_NYH2_plot_160,Mo44_PHW65_0333/PHT69,160,1,,1,41,4,0.7870170683256231,0.49735499743179057,0.023853811779783213,0.3415539664349371
160,2019_NYH2_plot_161,Mo44_PHW65_0396/PHT69,161,1,,1,40,4,0.7580547924297925,0.47735110069668896,0.022750823726926668,0.33808424010629895
161,2019_NYH2_plot_162,Mo44_PHW65_0033/PHT69,162,1,,1,39,4,0.7326059084007172,0.45033184191531606,0.023928648221690767,0.3885969250122222
162,2019_NYH2_plot_164,Mo44_PHW65_0339/PHT69,164,1,,1,37,4,0.7887792031855924,0.5023855374646343,0.022776229350949057,0.3624307807075431
163,2019_NYH2_plot_165,Mo44_PHW65_0218/PHT69,165,1,,1,36,4,0.7106261986618306,0.44318845031485177,0.02103527814017754,0.3711576295511175
164,2019_NYH2_plot_166,Mo44_PHW65_0174/PHT69,166,1,,1,35,4,0.6785283099503849,0.4089096712586726,0.022233841726042217,0.34834928181739266
165,2019_NYH2_plot_167,Mo44_PHW65_0263/PHT69,167,1,,1,34,4,0.7053588095209966,0.42728287941004883,0.02300946327516747,0.33968043935790826
